leagueId,tier,number
019b654e-fac7-4c52-9ef4-093d97701af8,GOLD,192
01aedef6-1633-4b5e-9788-79628514fa97,BRONZE,62
01af7e9e-4739-41cc-9dba-19746ef303e5,SILVER,175
01b70f98-4795-4d89-9587-71002aea838c,BRONZE,148
01ba5923-f3af-42ef-a0be-f31b43023881,SILVER,98
01c67540-1389-4fd0-81f7-bf5dff05879c,BRONZE,135
01cb5b9e-6651-4591-8fe8-5b27b837cf6e,SILVER,190
01d33938-3ff5-47c9-8a50-1c3b196fd0c5,BRONZE,52
01d6171f-c28c-4324-b756-ceee0f708c7b,SILVER,100
01d73911-913f-4863-9a5f-ba65a56c03a7,GOLD,139
01d85d30-0f74-41fc-9623-c5dbc72e076a,IRON,87
01db41d9-3d2e-4b65-8acb-750bcf932d4e,BRONZE,163
01dcf3bc-2475-488a-bce5-3253dfca8d4f,BRONZE,42
01dd0a7d-ad07-4373-8959-b3df4744d05d,BRONZE,142
01e72c74-64f8-4d60-b6cf-23882285741d,BRONZE,55
01e7dd6a-0f8c-4124-885b-0ed9c9108ff3,IRON,21
01e9afa5-633d-4c17-852d-df754bf16762,IRON,21
01ea70db-bc9f-4d87-b5ef-6f853fb980c3,SILVER,95
01ee5ed5-fef5-4293-9a8a-5ee6ad2539a1,GOLD,198
01f0f5e9-9c62-4727-bc23-37be8f5478af,GOLD,197
01f17db7-71e1-420d-9d9b-acc52656f289,PLATINUM,199
01f492b4-3471-4f57-9cb0-34001c0f245a,IRON,17
01fe55b2-5166-4962-a0ec-6d11653328d9,IRON,23
020192f9-647b-4573-b204-676a80a2140d,GOLD,198
0201a6d2-f97c-4f61-90eb-938abddd31d9,GOLD,153
020535e2-e059-403d-8c3f-28747be0ebbb,IRON,12
02067003-ca44-42c0-93b1-6a291cf819d0,PLATINUM,201
020b8fb4-b9a3-4c85-a891-edba614c25e4,SILVER,188
020bd507-8af7-49a4-aa06-78450d9ef598,BRONZE,36
020cfabe-a08b-4b22-9229-ad36273ad7b3,SILVER,185
0210bc44-b727-4f31-b8e1-ccec54220c94,BRONZE,144
0217c5e2-12ac-4aa9-8c10-5d43fb61ab69,BRONZE,29
02187d32-4a0b-4769-90bd-7e6a1a432084,BRONZE,138
02250636-1a9f-48e9-9fe1-d05cbb083510,BRONZE,42
022bbd77-e254-44c7-bdab-dc1ac78023be,IRON,8
022da08c-b3c3-4172-9952-f32e1ce08f9b,PLATINUM,208
022e9391-99ae-4813-b61e-6ab93aef2efb,DIAMOND,150
022eceba-5960-436d-99cb-a6039205fe6c,GOLD,192
02308eac-7ead-4ef9-adaa-400702b6e321,SILVER,100
0230fb80-aab0-443f-ab3d-def410985206,BRONZE,152
0237bd8a-daa8-4841-8fbe-9b18ecf691be,IRON,28
0239058f-1a1a-40f4-ac9b-3da45ac3610d,SILVER,102
02393c61-91c2-42f7-bfb9-4d1497d16ab0,GOLD,193
02398528-e577-4b4f-8d5a-0686189f93c9,GOLD,198
023a52df-6a27-406f-b6c7-166752dd53a9,BRONZE,66
024c9bf9-92af-4e4a-8452-3b4c441c8242,GOLD,120
02504654-508c-4f2f-b04f-a3cf31159e54,IRON,21
02540e7b-1887-40b2-9ff1-32488df9ad05,SILVER,114
0255d9b2-3976-4798-a2c6-38e8dc26660c,IRON,44
0259cc3b-6c01-43e0-8090-b6497007669e,GOLD,195
025efd53-9f8d-434b-9d9e-bad99a7dfc89,SILVER,150
0260613f-2828-4a5c-b08d-e3b797ac0e89,SILVER,186
0260a091-4780-4848-9de9-f23d7ba1c6d7,BRONZE,73
02670845-5294-46ea-81ea-2a11dff6b14a,BRONZE,137
02686cb8-d671-4ce8-a13a-161f12ef9bd4,IRON,65
026b726a-db49-4d8c-a945-c95430c065ed,PLATINUM,139
027a87e7-047c-4223-9f6a-da9528770e68,PLATINUM,159
0281895f-7f9a-4cfc-8109-a80b5ece3d5c,BRONZE,69
028279b5-c334-4462-80c4-257c4c773b0d,IRON,19
0284aefa-cc79-4453-b5df-89673970df4f,BRONZE,152
02865e54-3a49-41f6-8935-c88aa274c1d9,SILVER,98
028877ff-3b86-43a5-82eb-56b00c2cad1f,BRONZE,134
02893eed-b8f8-42b7-a12c-8526ef76673c,IRON,25
028debd8-bbf0-4661-9b1e-3040e6b96f92,BRONZE,135
028e2bdd-e248-47d2-a8ac-d07bade3ed30,BRONZE,152
029585c3-a41a-4d8c-92c6-b50f3130c6ee,IRON,38
02adbc99-efdd-4c24-a542-f2e1a3567aba,SILVER,97
02ae68df-09f7-46b4-9797-3d1aa65166b7,SILVER,184
02b09672-766a-4198-9365-ceebbfd40ff8,IRON,33
02b434a1-c9e0-4d7c-9338-5d56d99c1295,BRONZE,48
02b608ca-7e86-446a-af57-1d2df5ab90d8,BRONZE,142
02bf27ea-9035-4627-8bc4-86c51b31d192,SILVER,194
02c26752-1b68-4b60-9393-b7cb42aefd7b,SILVER,98
02cc17f7-dcf6-4e3e-8a0c-403a79d2ae55,BRONZE,83
02d361f1-8ebc-40d7-8658-ab685476db84,IRON,29
02d5c30b-d286-425d-8669-8cb4d37f654d,SILVER,183
02e64150-04a2-4314-9cb2-280a16e06bd1,BRONZE,88
02e7db56-0e9e-4dee-bcf5-75f77e7afa85,GOLD,198
02e9b31c-119b-4b3b-acaf-cdcd85a9ce56,IRON,29
02ead31b-e496-40a7-ba12-87026af2c479,BRONZE,127
02f261f0-d16e-4112-9d4b-5e680be9338e,BRONZE,77
02f5ab85-ebb4-4f0d-97f2-fbec7eca776b,SILVER,187
02f96758-ee67-45e6-929d-8d3444c7a723,IRON,32
0301ad31-95dd-4a6c-839c-f11a76d186f6,BRONZE,145
03028119-c7df-4196-9da7-52a1e7e826b1,SILVER,186
030addc4-2a1d-4f6d-ac96-d7f793574397,PLATINUM,199
03115a2f-68d3-4589-a43d-c2ee8c69752a,SILVER,89
03189be0-b7a3-4001-b4a5-38e0e495f56e,IRON,23
031940c3-6c89-47cd-bba0-0624db73a0c6,BRONZE,153
032565b7-c074-4d47-938e-51bb1050e342,IRON,13
0327729a-8b68-4252-8c47-c1fc18e45215,PLATINUM,142
0328d416-55ac-4f9f-af69-9e4c3f3bce50,IRON,12
032dd279-accf-4e5e-b636-9637b86e5303,SILVER,180
032fa6d7-882e-4747-9034-7e1de3b8059d,BRONZE,150
0337303e-916e-4ac9-8f31-c8ebb807509f,GOLD,175
0338951d-0d72-436d-ad85-a714f49ef28b,IRON,24
033f3f46-f3ae-4858-9aa9-1021e40c9538,SILVER,186
034a5e19-0ceb-4a1e-9ce3-8b543012adeb,SILVER,191
034ce294-4d05-490e-8c6d-326b14c11815,BRONZE,139
0351e325-3cdc-4c49-bea1-57fbf443250c,GOLD,194
03525c60-1b6c-442b-b9ba-d1a17fbddd59,GOLD,194
03546188-e30b-4fe9-8987-616d7d1d8e11,PLATINUM,200
03570c6a-734d-4c5d-9e3a-5112a97db7df,IRON,81
03572ff2-8e30-46ba-a566-bc353265729f,IRON,64
03585f3e-e025-4db1-bc7a-4f6c3fc38036,SILVER,184
035c40a1-79c1-4135-89be-1641432086d5,BRONZE,47
035d4246-6728-48b3-9b02-9417d0fc636a,GOLD,96
035de41e-6705-4035-99f5-f975d1bbd6b1,IRON,73
03604c08-ccd0-461e-a7db-594ce49631bc,DIAMOND,137
036374b5-b8ce-42f8-b078-9fd24f8d886c,GOLD,198
036709ef-e401-4aed-817c-fccbd41d823c,BRONZE,138
03682976-1e13-4777-8cdb-a0a5b7a2e5ad,IRON,34
036b2700-4f2b-4038-8e29-b4f963f472d9,BRONZE,81
